label,score,box
antenna,0.244,"[876.9553833007812, 144.61715698242188, 897.119140625, 165.5024871826172]"
antenna,0.111,"[844.4793701171875, 167.7882080078125, 872.709228515625, 198.25656127929688]"
antenna,0.555,"[877.158203125, 141.97787475585938, 895.6429443359375, 265.7776184082031]"
antenna,0.22,"[884.9061889648438, 152.5557098388672, 890.3587036132812, 277.26617431640625]"
antenna,0.205,"[911.979736328125, 238.5087127685547, 917.54833984375, 295.7226257324219]"
antenna,0.139,"[715.783447265625, 295.0406799316406, 722.8524780273438, 356.6351318359375]"
antenna,0.145,"[921.9312133789062, 257.0881042480469, 939.523681640625, 354.4136047363281]"
antenna,0.107,"[749.594970703125, 317.78973388671875, 780.6224365234375, 386.6400146484375]"
antenna,0.138,"[697.41357421875, 297.1286315917969, 726.0941772460938, 395.26422119140625]"
antenna,0.25,"[669.8847045898438, 509.5331115722656, 748.9172973632812, 601.235595703125]"
antenna,0.117,"[867.7152099609375, 492.5393371582031, 886.6406860351562, 728.8442993164062]"
tower,0.651,"[668.155029296875, 161.59527587890625, 931.1175537109375, 1102.7979736328125]"
antenna,0.11,"[841.3910522460938, 608.4522094726562, 867.2181396484375, 687.4080810546875]"
antenna,0.122,"[727.23779296875, 711.5057373046875, 755.5040893554688, 762.484130859375]"
antenna,0.116,"[877.5108642578125, 727.1615600585938, 905.7039184570312, 755.2954711914062]"
antenna,0.114,"[713.3814697265625, 715.06689453125, 727.9725952148438, 784.2051391601562]"
antenna,0.154,"[841.5257568359375, 758.85546875, 890.1764526367188, 806.413330078125]"
antenna,0.185,"[840.037841796875, 959.689697265625, 890.1737670898438, 1004.6904296875]"
